,1.0,Timestamp,Which state are you in?,What city are you in,,I am a :,My race/ethnicity is:,My Age:,My Marital Status:,Education Level:,My Partner's race/ethnicity is:,My Partner's Age:,My Partner's Marital Status:,My Partner's Education Level:,Length of Time Together,Number of Dates (Monthly),Arrangement Questions [Are you Exclusive?],Arrangement Questions [Do you have more than one SR?],Arrangement Questions [Does your partner know your real Identity?],Arrangement Questions [Are your dates indoor only?],Arrangement Questions [Do you have overnight dates or travel together?],Arrangement Questions [Do you give or receive more for overnights or travel?],Arrangement Questions [Do you give or receive gifts on top of allowance?],Allowance Type:,PPM/Weekly Allowance Amount:,Allowance Amount: (Actual amount received or given. Not total budget. For gifts and experience only arrangements select how much spent on a monthly basis.),How happy are you with your current arrangement?,Are you satisfied with how much you receive or give financially?,Are you satisfied with how much time you spend together?,I feel I am getting enough effort/financial support from my partner for the money I spend/effort I put into the relationship?
96,97.0,5/24/2024 1:23:02,California,Los Angeles,,Sugar Daddy,White / Caucasian,46-55,Divorced,Some College,Asian,26-35,Single,Some College,More than 1 year,5-6,Yes,No,Yes,No,Yes,No,Yes,Monthly Allowance,,"$5k-$5,999",7,7,3,4
97,98.0,5/28/2024 6:33:39,California,Los Angeles,,Sugar Baby Male,Mixed,26-35,Single,Bachelor Degree,White / Caucasian,36-45,Divorced,Some College,Less than a month,3-4,Yes,No,Yes,No,Yes,Yes,Yes,Weekly Allowance,$500-$599,,9,6,6,7
98,99.0,5/28/2024 21:15:56,California,San Luis Obispo,,Sugar Baby Female,White / Caucasian,46-55,Single,Bachelor Degree,White / Caucasian,56-65,Divorced,Bachelor Degree,Less than a month,1-2,No,Yes,No,No,No,No,Yes,Pay Per Meet (PPM),$700-$799,,6,7,10,8
99,100.0,6/4/2024 17:19:27,California,San Jose,,Sugar Daddy,Asian,36-45,Divorced,Masters,Latin / Hispanic,26-35,Single,Associate Degree,1-3 months,3-4,Yes,No,Yes,No,No,No,No,Weekly Allowance,"$1k - $1,999",,9,6,4,8
100,101.0,6/4/2024 19:47:05,California,SF,,Sugar Baby Female,Asian,26-35,Single,Bachelor Degree,White / Caucasian,36-45,Single,Bachelor Degree,4-6 months,3-4,No,Yes,No,No,No,No,Yes,Pay Per Meet (PPM),"$1k - $1,999",,8,7,7,8
101,102.0,6/6/2024 4:21:32,California,San Diego,,Sugar Baby Female,Asian,18-25,Single,Bachelor Degree,White / Caucasian,36-45,Separated,Bachelor Degree,1-3 months,3-4,Yes,No,Yes,No,Yes,No,No,Pay Per Meet (PPM),"$1k - $1,999",,7,6,5,5
102,103.0,6/10/2024 1:53:32,California,Mountain View,,Sugar Daddy,Asian,26-35,Single,Bachelor Degree,,18-25,Single,High School Diploma,1-3 months,3-4,Yes,No,No,Yes,"Yes, No",No,No,Monthly Allowance,,"$1k- $1,999",5,5,5,5
103,104.0,6/14/2024 11:36:59,California,Los Angeles,,Sugar Baby Female,East Indian,26-35,Single,Masters,Asian,36-45,Married,Bachelor Degree,Less than a month,3-4,No,No,Yes,No,Yes,No,Yes,Monthly Allowance,,"$2k-$2,999",10,10,10,10
104,105.0,6/14/2024 12:26:26,California,Chino Hills,,Sugar Daddy,Latin / Hispanic,46-55,Married,Bachelor Degree,Latin / Hispanic,46-55,Married,Masters,More than 1 year,1-2,No,Yes,Yes,Yes,Yes,No,No,Pay Per Meet (PPM),< $300,,5,5,5,5
105,106.0,6/18/2024 18:27:46,California,Oakland,,Sugar Baby Female,Black/African Descent,18-25,Single,Some College,Black/African Descent,66-75,Single,Doctorate,Less than a month,1-2,Yes,No,"Yes, No",No,No,No,"Yes, No",Weekly Allowance,$500-$599,,4,3,3,5
106,107.0,6/20/2024 1:27:38,California,Los Angeles,,Sugar Daddy,White / Caucasian,46-55,Divorced,Bachelor Degree,Black/African Descent,18-25,Single,Bachelor Degree,1-3 months,3-4,Yes,No,Yes,No,No,No,No,Pay Per Meet (PPM),$700-$799,,4,5,5,9
107,108.0,6/25/2024 11:36:05,California,San Francisco,,Sugar Daddy,White / Caucasian,46-55,Married,Masters,Mixed,26-35,Single,Bachelor Degree,1-3 months,3-4,No,Yes,Yes,Yes,No,Yes,Yes,Monthly Allowance,,"$1k- $1,999",5,5,5,8
108,109.0,6/26/2024 13:04:11,California,San Jose,,Sugar Daddy,White / Caucasian,66-75,Married,Masters,Black/African Descent,26-35,Single,Bachelor Degree,More than 1 year,1-2,No,Yes,Yes,Yes,No,No,Yes,Pay Per Meet (PPM),$900-$999,,8,8,6,8
109,110.0,6/26/2024 18:08:06,California,Riverside,,Sugar Daddy,White / Caucasian,56-65,Married,Bachelor Degree,Latin / Hispanic,26-35,Single,High School Diploma,10-12 months,3-4,Yes,No,No,Yes,No,No,Yes,Pay Per Meet (PPM),$300-$399,,8,8,7,8
110,111.0,6/26/2024 19:20:30,California,Los angeles,,Sugar Baby Female,White / Caucasian,26-35,Single,Some College,White / Caucasian,56-65,Separated,Bachelor Degree,4-6 months,3-4,No,No,Yes,No,Yes,No,Yes,Monthly Allowance,,$10k or more,7,10,5,10
111,112.0,6/29/2024 3:14:03,California,Los angeles,,Sugar Baby Female,Asian,26-35,Single,Bachelor Degree,Asian,36-45,Married,Some College,Less than a month,1-2,Yes,No,No,Yes,No,No,No,Pay Per Meet (PPM),$500-$599,,9,7,9,5
112,113.0,6/29/2024 12:22:22,California,San Francisco,,Sugar Daddy,Latin / Hispanic,46-55,Single,Bachelor Degree,White / Caucasian,18-25,Single,Some College,4-6 months,7-8,Yes,No,No,Yes,No,No,Yes,Pay Per Meet (PPM),$500-$599,,8,10,9,10
113,114.0,6/29/2024 18:23:37,California,Mountain view,,Sugar Daddy,Asian,26-35,Divorced,Masters,Asian,26-35,Divorced,Some College,Less than a month,3-4,No,Yes,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),$500-$599,,8,8,10,9
114,115.0,6/30/2024 4:31:12,California,San Jose,,Sugar Baby Female,Latin / Hispanic,18-25,Single,High School Diploma,White / Caucasian,36-45,Single,Bachelor Degree,4-6 months,5-6,No,No,Yes,No,No,No,Yes,Monthly Allowance,,"$1k- $1,999",10,7,10,10
115,116.0,7/2/2024 12:05:45,California,San jose,,Sugar Baby Female,Asian,26-35,Single,Bachelor Degree,Latin / Hispanic,36-45,Single,Associate Degree,7-9 months,10+,Yes,No,Yes,No,Yes,No,Yes,Weekly Allowance,"$1k - $1,999",,7,2,5,4
116,117.0,7/8/2024 9:44:50,California,Los Angeles,,Sugar Daddy,White / Caucasian,26-35,Single,Doctorate,White / Caucasian,18-25,Single,Bachelor Degree,Less than a month,3-4,Yes,No,Yes,No,No,Yes,No,Pay Per Meet (PPM),"$1k - $1,999",,10,7,10,10
117,118.0,7/9/2024 14:06:33,California,Los angeles,,Sugar Baby Female,White / Caucasian,26-35,Single,Some College,,46-55,Single,Masters,1-3 months,3-4,No,No,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),$500-$599,,8,5,5,6
118,119.0,7/11/2024 10:29:11,California,Orange County,,Sugar Daddy,Asian,26-35,Married,Associate Degree,Asian,26-35,Single,Some College,More than 1 year,3-4,Yes,No,Yes,No,Yes,Yes,Yes,Monthly Allowance,,"$2k-$2,999",8,8,5,5
119,120.0,7/11/2024 23:32:55,California,SAN FRANCISCO,,Sugar Baby Female,Latin / Hispanic,18-25,Single,Some College,White / Caucasian,56-65,Married,Some College,7-9 months,5-6,Yes,No,No,No,No,No,Yes,Pay Per Meet (PPM),$600-$699,,5,6,7,6
120,121.0,7/12/2024 21:03:42,California,Sacramento,,Sugar Baby Female,White / Caucasian,18-25,Single,Some College,White / Caucasian,56-65,Single,Masters,4-6 months,1-2,No,No,Yes,No,Yes,No,No,Pay Per Meet (PPM),"$2k - $2,999",,7,8,8,9
121,122.0,7/15/2024 21:37:41,California,San Diego,,Sugar Baby Female,White / Caucasian,26-35,Single,Some College,White / Caucasian,26-35,Divorced,Associate Degree,7-9 months,3-4,Yes,Yes,Yes,No,Yes,Yes,Yes,Monthly Allowance,,"$9k-$9,999",4,5,4,5
122,123.0,7/18/2024 11:24:12,California,San Francisco,,Sugar Baby Female,White / Caucasian,26-35,Single,Bachelor Degree,East Indian,56-65,Divorced,Masters,4-6 months,3-4,Yes,Yes,Yes,No,Yes,No,Yes,Monthly Allowance,,$10k or more,7,10,5,9
123,124.0,7/19/2024 2:34:44,California,Brea,,Sugar Daddy,White / Caucasian,56-65,Married,Some College,Asian,18-25,Single,High School Diploma,More than 1 year,5-6,Yes,No,Yes,No,No,No,Yes,Weekly Allowance,$500-$599,,2,5,4,8
124,125.0,7/19/2024 16:36:17,California,Palo alto,,Sugar Daddy,White / Caucasian,46-55,Married,Some College,Asian,26-35,Single,Some College,1-3 months,3-4,No,No,Yes,Yes,Yes,No,No,Pay Per Meet (PPM),"$1k - $1,999",,7,8,7,7
125,126.0,7/20/2024 13:46:28,California,Pasadena,,Sugar Baby Female,Latin / Hispanic,18-25,Single,Some College,White / Caucasian,46-55,Open Relationship,Masters,1-3 months,3-4,No,No,"Yes, No",No,Yes,Yes,Yes,Pay Per Meet (PPM),"$1k - $1,999",,10,10,8,10
126,127.0,7/24/2024 2:11:16,California,Santa Barbara,,Sugar Baby Female,White / Caucasian,18-25,Single,Bachelor Degree,White / Caucasian,56-65,Married,Some College,More than 1 year,7-8,No,No,Yes,No,Yes,Yes,Yes,Monthly Allowance,,"$4k-$4,999",10,9,8,10
127,128.0,7/24/2024 4:53:55,California,sacramento,,Sugar Daddy,Asian,36-45,Single,Bachelor Degree,White / Caucasian,26-35,Single,Some College,4-6 months,5-6,Yes,No,Yes,Yes,Yes,Yes,Yes,Weekly Allowance,$300-$399,,8,8,8,8
128,129.0,7/25/2024 0:28:28,California,Los Angeles,,Sugar Daddy,Middle Eastern,36-45,Single,Bachelor Degree,Middle Eastern,26-35,Single,High School Diploma,Less than a month,3-4,No,Yes,Yes,No,No,No,Yes,Weekly Allowance,$600-$699,,8,7,8,7
129,130.0,7/25/2024 11:45:11,California,Los Angeles,,Sugar Baby Female,Asian,18-25,Open Relationship,Bachelor Degree,Mixed,46-55,Single,Doctorate,More than 1 year,3-4,Yes,No,Yes,No,Yes,Yes,Yes,Monthly Allowance,,$10k or more,9,10,6,10
130,131.0,7/25/2024 19:45:00,California,los angeles,,Sugar Daddy,White / Caucasian,36-45,Single,Bachelor Degree,Black/African Descent,18-25,Single,Some College,More than 1 year,3-4,No,Yes,Yes,No,Yes,No,Yes,Pay Per Meet (PPM),"$1k - $1,999",,8,7,7,7
131,132.0,7/26/2024 3:11:40,California,Downey,,Sugar Baby Female,Latin / Hispanic,46-55,Widow,High School Diploma,,36-45,Widow,High School Diploma,More than 1 year,5-6,No,No,No,Yes,No,No,No,Pay Per Meet (PPM),$500-$599,,10,10,10,10
132,133.0,7/29/2024 1:49:33,California,Los Angeles,,Sugar Baby Female,White / Caucasian,36-45,Divorced,Bachelor Degree,White / Caucasian,56-65,Married,Masters,4-6 months,1-2,No,Yes,Yes,No,No,No,No,Pay Per Meet (PPM),$500-$599,,8,7,9,8
133,134.0,8/1/2024 2:27:48,California,La,,Sugar Daddy,Asian,18-25,Single,Less than High School,Asian,18-25,Single,Less than High School,Less than a month,1-2,Yes,No,No,Yes,No,No,No,Pay Per Meet (PPM),"$1k - $1,999",,1,1,1,1
134,135.0,8/3/2024 0:16:04,California,San jose,,Sugar Daddy,White / Caucasian,36-45,Divorced,High School Diploma,,26-35,Single,High School Diploma,1-3 months,3-4,Yes,No,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),$300-$399,,5,8,9,5
135,136.0,8/7/2024 2:56:02,California,Oakland,,Sugar Daddy,White / Caucasian,36-45,Single,Bachelor Degree,Asian,18-25,Single,Some College,1-3 months,3-4,Yes,No,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),$500-$599,,10,8,8,8
136,137.0,8/9/2024 12:18:10,California,Sacramento,,Sugar Baby Female,White / Caucasian,18-25,Single,High School Diploma,White / Caucasian,36-45,Separated,High School Diploma,Less than a month,1-2,No,Yes,"Yes, No",Yes,No,Yes,Yes,Pay Per Meet (PPM),$300-$399,,8,7,8,9
137,138.0,8/9/2024 16:37:29,California,Menifee,,Sugar Baby Female,Mixed,18-25,Divorced,Some College,Asian,36-45,Separated,Doctorate,1-3 months,10+,Yes,No,Yes,No,Yes,No,No,Monthly Allowance,,"$2k-$2,999",8,7,8,3
138,139.0,8/13/2024 20:09:16,California,Bay Area,,Sugar Daddy,Latin / Hispanic,36-45,Open Relationship,Bachelor Degree,Latin / Hispanic,36-45,Open Relationship,Masters,More than 1 year,3-4,Yes,No,Yes,No,Yes,No,Yes,Pay Per Meet (PPM),< $300,,8,9,7,8
139,140.0,8/14/2024 0:36:27,California,San Jose,,Sugar Daddy,Asian,36-45,Single,Masters,White / Caucasian,26-35,Single,Some College,7-9 months,3-4,Yes,No,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),$800-$899,,8,7,7,7
140,141.0,8/14/2024 1:06:29,California,San Diego,,Sugar Baby Female,White / Caucasian,18-25,Single,Some College,Mixed,46-55,Divorced,Masters,7-9 months,3-4,No,No,No,Yes,No,No,Yes,Pay Per Meet (PPM),$300-$399,,8,8,8,8
141,142.0,8/17/2024 21:10:01,California,Palo Alto,,Sugar Daddy,White / Caucasian,46-55,Married,Some College,Asian,26-35,Single,Masters,4-6 months,3-4,No,No,Yes,Yes,Yes,No,Yes,Pay Per Meet (PPM),"$1k - $1,999",,8,5,9,8
142,143.0,8/18/2024 23:15:54,California,San Jose,,Sugar Baby Female,White / Caucasian,36-45,Single,Masters,,46-55,Open Relationship,Masters,10-12 months,3-4,No,No,Yes,Yes,Yes,No,Yes,Pay Per Meet (PPM),$400-$499,,6,7,7,5
143,144.0,8/27/2024 12:16:31,California,West Hollywood,,Sugar Baby Female,White / Caucasian,26-35,Single,Some College,Asian,46-55,Single,Masters,More than 1 year,3-4,Yes,Yes,Yes,No,Yes,Yes,Yes,Monthly Allowance,,"$9k-$9,999",10,10,10,10
144,145.0,8/28/2024 4:18:18,California,Sacramento,,Sugar Baby Female,White / Caucasian,36-45,Single,Some College,White / Caucasian,66-75,Divorced,Bachelor Degree,1-3 months,1-2,No,No,No,Yes,Yes,No,Yes,Pay Per Meet (PPM),$400-$499,,5,3,3,5
145,146.0,8/28/2024 9:32:28,California,San Jose,,Sugar Baby Female,Mixed,46-55,Divorced,Some College,Mixed,46-55,Divorced,Some College,More than 1 year,3-4,No,Yes,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),"$1k - $1,999",,8,8,8,8
146,147.0,9/1/2024 23:48:37,California,Brea,,Sugar Daddy,White / Caucasian,56-65,Married,Some College,Asian,18-25,Single,High School Diploma,More than 1 year,5-6,Yes,No,Yes,No,No,No,Yes,Weekly Allowance,$400-$499,,10,7,3,5
147,148.0,9/4/2024 10:59:05,California,West Hollywood,,Sugar Baby Female,White / Caucasian,26-35,Divorced,Associate Degree,,66-75,Single,Masters,Less than a month,1-2,No,No,Yes,Yes,Yes,Yes,No,Monthly Allowance,,"$4k-$4,999",5,5,5,5
148,149.0,9/4/2024 17:10:22,California,San diego,,Sugar Daddy,Latin / Hispanic,26-35,Single,Some College,Latin / Hispanic,26-35,Single,Bachelor Degree,1-3 months,5-6,No,Yes,Yes,No,Yes,Yes,Yes,Monthly Allowance,,"$4k-$4,999",8,8,8,10
149,150.0,9/7/2024 23:46:31,California,San Francisco,,Sugar Daddy,White / Caucasian,36-45,Single,Bachelor Degree,White / Caucasian,26-35,Single,Bachelor Degree,1-3 months,5-6,No,No,Yes,No,Yes,No,No,Monthly Allowance,,"$2k-$2,999",7,5,8,7
150,151.0,9/8/2024 20:21:07,California,San Francisco,,Sugar Baby Female,Mixed,26-35,Single,Bachelor Degree,East Indian,46-55,Married,Masters,Less than a month,3-4,No,No,No,Yes,No,No,No,Pay Per Meet (PPM),$500-$599,,5,4,5,4
151,152.0,9/10/2024 16:13:19,California,Sacramento,,Sugar Baby Female,White / Caucasian,36-45,Single,Some College,White / Caucasian,56-65,Divorced,Bachelor Degree,Less than a month,3-4,Yes,No,Yes,No,Yes,No,Yes,Pay Per Meet (PPM),$500-$599,,7,4,8,9
152,153.0,9/11/2024 2:01:49,California,La verne,,Sugar Daddy,Middle Eastern,26-35,Single,Bachelor Degree,White / Caucasian,18-25,Single,Some College,1-3 months,7-8,No,No,Yes,No,Yes,Yes,Yes,Monthly Allowance,,"$1k- $1,999",1,1,1,1
153,154.0,9/11/2024 3:43:40,California,Los Angeles,,Sugar Daddy,Asian,46-55,Widow,Bachelor Degree,White / Caucasian,18-25,Open Relationship,Some College,4-6 months,3-4,No,Yes,No,Yes,Yes,Yes,Yes,Pay Per Meet (PPM),$300-$399,,8,8,7,8
154,155.0,9/14/2024 0:23:53,California,Newport Beach,,Sugar Baby Male,Middle Eastern,18-25,Single,Masters,Latin / Hispanic,46-55,Single,Bachelor Degree,1-3 months,3-4,Yes,No,No,Yes,Yes,No,Yes,Gifts and Experiences,,"$1k- $1,999",2,1,8,1
155,156.0,9/15/2024 0:55:56,California,Oceanside,,Sugar Baby Female,White / Caucasian,46-55,Divorced,Some College,White / Caucasian,66-75,Divorced,Doctorate,More than 1 year,3-4,No,No,Yes,No,Yes,No,Yes,Monthly Allowance,,$10k or more,6,9,7,8
156,157.0,9/15/2024 2:43:54,California,LA,,Sugar Baby Female,Latin / Hispanic,18-25,Single,Some College,White / Caucasian,26-35,Single,Doctorate,Less than a month,3-4,Yes,No,Yes,Yes,No,No,No,Pay Per Meet (PPM),$400-$499,,7,7,8,8
157,158.0,9/15/2024 23:37:45,California,Santa Rosa,,Sugar Daddy,White / Caucasian,56-65,Single,Bachelor Degree,Latin / Hispanic,18-25,Single,Some College,1-3 months,10+,No,No,Yes,No,No,No,Yes,Weekly Allowance,$500-$599,,10,10,10,10
158,159.0,9/18/2024 23:20:42,California,Los Angeles,,Sugar Daddy,White / Caucasian,46-55,Separated,Some College,Mixed,18-25,Single,Some College,Less than a month,1-2,No,No,No,No,No,No,Yes,Pay Per Meet (PPM),$300-$399,,5,5,4,6
159,160.0,9/20/2024 10:44:09,California,Los Angeles,,Sugar Daddy,White / Caucasian,46-55,Single,Bachelor Degree,,26-35,Single,Some College,1-3 months,3-4,No,No,Yes,No,Yes,No,Yes,Pay Per Meet (PPM),$500-$599,,8,8,8,8
160,161.0,9/21/2024 14:29:47,California,riverside,,Sugar Baby Male,White / Caucasian,56-65,Divorced,Bachelor Degree,Latin / Hispanic,46-55,Married,Some College,1-3 months,3-4,Yes,No,Yes,No,Yes,No,Yes,Weekly Allowance,$500-$599,,4,2,8,3
161,162.0,9/21/2024 22:28:27,California,San Diego,,Sugar Baby Female,White / Caucasian,26-35,Open Relationship,Bachelor Degree,White / Caucasian,56-65,Divorced,Bachelor Degree,Less than a month,1-2,No,Yes,Yes,Yes,No,No,No,Pay Per Meet (PPM),"$1k - $1,999",,7,7,7,7
162,163.0,9/22/2024 19:16:27,California,Fremont,,Sugar Daddy,Asian,26-35,Single,Doctorate,Asian,66-75,Single,High School Diploma,1-3 months,1-2,No,No,No,No,No,No,No,Weekly Allowance,$800-$899,,2,3,6,3
163,164.0,9/22/2024 22:49:42,California,San Francisco,,Sugar Daddy,Asian,36-45,Open Relationship,Bachelor Degree,White / Caucasian,26-35,Open Relationship,Bachelor Degree,More than 1 year,3-4,No,Yes,Yes,No,Yes,Yes,Yes,Monthly Allowance,,"$3k-$3,999",6,6,4,5
164,165.0,9/24/2024 0:24:46,California,Costa Mesa,,Sugar Baby Female,White / Caucasian,36-45,Open Relationship,Bachelor Degree,Mixed,36-45,Open Relationship,Some College,Less than a month,1-2,No,No,Yes,No,Yes,Yes,Yes,Weekly Allowance,$500-$599,,5,5,5,1
165,166.0,9/24/2024 16:36:28,California,los angeles,,Sugar Daddy,Asian,36-45,Single,Bachelor Degree,,26-35,Single,Some College,Less than a month,3-4,Yes,No,No,Yes,No,No,No,Pay Per Meet (PPM),$300-$399,,8,8,8,8
166,167.0,9/27/2024 4:17:05,California,Santa barbara,,Sugar Baby Female,White / Caucasian,26-35,Single,Some College,Middle Eastern,46-55,Open Relationship,Masters,1-3 months,3-4,No,No,Yes,Yes,No,No,No,Pay Per Meet (PPM),"$1k - $1,999",,10,10,7,10
167,168.0,9/28/2024 18:03:55,California,Los angeles,,Sugar Daddy,Asian,56-65,Married,Doctorate,White / Caucasian,26-35,Single,Some College,1-3 months,3-4,No,Yes,Yes,Yes,No,Yes,No,Pay Per Meet (PPM),$500-$599,,4,4,4,4
168,169.0,10/1/2024 17:51:18,California,Sacramento,,Sugar Baby Female,Mixed,26-35,Married,Some College,Latin / Hispanic,26-35,Married,High School Diploma,1-3 months,1-2,No,No,Yes,Yes,No,No,Yes,Pay Per Meet (PPM),$500-$599,,7,5,5,6
169,170.0,10/3/2024 17:23:49,California,San Jose,,Sugar Baby Female,White / Caucasian,36-45,Single,Masters,East Indian,36-45,Open Relationship,Masters,1-3 months,1-2,No,No,Yes,No,Yes,No,Yes,Pay Per Meet (PPM),$500-$599,,9,9,8,10
170,171.0,10/6/2024 22:30:28,California,Los Angeles,,Sugar Baby Female,White / Caucasian,26-35,Divorced,Some College,Black/African Descent,36-45,Single,Masters,Less than a month,1-2,Yes,No,Yes,No,Yes,No,Yes,Monthly Allowance,,"$5k-$5,999",10,6,9,10
171,172.0,10/8/2024 17:27:10,California,Palo alto,,Sugar Daddy,White / Caucasian,36-45,Married,Doctorate,White / Caucasian,26-35,Single,Associate Degree,1-3 months,3-4,No,No,No,Yes,No,No,No,Pay Per Meet (PPM),$500-$599,,7,8,8,7
172,173.0,10/15/2024 0:45:19,California,San Diego,,Sugar Daddy,Asian,46-55,Divorced,Masters,White / Caucasian,26-35,Single,Associate Degree,7-9 months,3-4,No,Yes,No,Yes,No,No,Yes,Pay Per Meet (PPM),$700-$799,,8,9,5,6
173,174.0,10/20/2024 22:52:55,California,San Diego,,Sugar Daddy,East Indian,36-45,Separated,Bachelor Degree,White / Caucasian,36-45,Separated,High School Diploma,Less than a month,3-4,No,No,Yes,No,No,Yes,No,Pay Per Meet (PPM),$300-$399,,9,9,8,9
174,175.0,10/21/2024 3:44:09,California,LA,,Sugar Mama,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,18-25,Single,Bachelor Degree,10-12 months,10+,Yes,No,Yes,No,Yes,Yes,Yes,Weekly Allowance,$3k or more,,10,10,10,10
175,176.0,10/21/2024 17:25:00,California,Bay Area,,Sugar Baby Female,Asian,36-45,Single,Masters,Asian,46-55,Separated,Masters,More than 1 year,3-4,Yes,No,Yes,No,Yes,No,Yes,Monthly Allowance,,"$3k-$3,999",10,9,10,9
176,177.0,10/22/2024 19:49:17,California,Mountain View,,Sugar Daddy,Asian,46-55,Married,Bachelor Degree,White / Caucasian,46-55,Divorced,High School Diploma,More than 1 year,3-4,No,No,Yes,No,No,No,Yes,Pay Per Meet (PPM),$400-$499,,9,9,10,9
177,178.0,10/24/2024 11:34:36,California,la,,Sugar Baby Female,Asian,18-25,Single,Some College,Asian,36-45,Single,Masters,4-6 months,3-4,No,Yes,Yes,Yes,No,No,No,Pay Per Meet (PPM),$900-$999,,7,7,7,7
178,179.0,10/29/2024 15:04:24,California,San Francisco,,Sugar Baby Female,Mixed,26-35,Single,Some College,White / Caucasian,46-55,Single,Masters,Less than a month,3-4,Yes,No,Yes,No,Yes,No,Yes,Weekly Allowance,"$2k - $2,999",,9,10,7,10
179,180.0,10/30/2024 13:47:58,California,Santa Barbara,,Sugar Baby Female,White / Caucasian,26-35,Single,Some College,Middle Eastern,46-55,Married,Masters,4-6 months,1-2,No,Yes,Yes,Yes,No,No,Yes,Pay Per Meet (PPM),"$1k - $1,999",,10,10,7,10
180,181.0,10/31/2024 9:14:39,California,San Francisco,,Sugar Daddy,White / Caucasian,56-65,Married,Bachelor Degree,Pacific Islander,26-35,Divorced,Bachelor Degree,7-9 months,1-2,No,Yes,No,Yes,No,No,Yes,Pay Per Meet (PPM),$600-$699,,8,8,7,7
181,182.0,10/31/2024 12:47:23,California,San francisco,,Sugar Baby Female,Black/African Descent,18-25,Single,Bachelor Degree,East Indian,26-35,Single,Bachelor Degree,Less than a month,1-2,Yes,No,Yes,Yes,No,No,Yes,Pay Per Meet (PPM),$500-$599,,6,6,6,6
182,183.0,10/31/2024 17:48:40,California,Westminster,,Sugar Daddy,White / Caucasian,46-55,Married,Bachelor Degree,,36-45,Single,Some College,More than 1 year,1-2,No,Yes,Yes,Yes,Yes,Yes,Yes,Monthly Allowance,,"$1k- $1,999",9,5,8,5
183,184.0,11/1/2024 2:49:12,California,Anaheim,,Sugar Baby Female,Asian,18-25,Single,Associate Degree,White / Caucasian,36-45,Single,Some College,Less than a month,1-2,Yes,No,Yes,Yes,Yes,No,No,Pay Per Meet (PPM),$700-$799,,7,4,4,3
184,185.0,11/1/2024 2:51:21,California,La,,Sugar Baby Female,Latin / Hispanic,36-45,Married,Associate Degree,Latin / Hispanic,36-45,Married,Bachelor Degree,1-3 months,5-6,Yes,No,Yes,Yes,No,No,No,Pay Per Meet (PPM),$400-$499,,4,4,4,4
185,186.0,11/2/2024 19:48:05,California,San Francisco,,Sugar Daddy,East Indian,46-55,Married,Masters,White / Caucasian,26-35,Single,Some College,1-3 months,5-6,Yes,No,Yes,No,Yes,No,Yes,Weekly Allowance,$900-$999,,7,7,10,10
186,187.0,11/8/2024 12:20:53,California,san fransisco,,Sugar Daddy,Asian,46-55,Married,Masters,White / Caucasian,26-35,Single,Bachelor Degree,1-3 months,3-4,Yes,No,No,Yes,No,No,No,Pay Per Meet (PPM),$400-$499,,9,9,9,9
187,188.0,11/14/2024 11:16:06,California,San Diego,,Sugar Daddy,White / Caucasian,56-65,Married,Bachelor Degree,Latin / Hispanic,36-45,Divorced,Some College,More than 1 year,1-2,Yes,No,Yes,No,Yes,No,Yes,Gifts and Experiences,,"$3k-$3,999",8,9,6,8
188,189.0,11/16/2024 10:07:48,California,San jose,,Sugar Baby Female,Mixed,26-35,Single,Associate Degree,Middle Eastern,36-45,Married,Masters,1-3 months,3-4,Yes,No,Yes,No,Yes,No,Yes,Pay Per Meet (PPM),"$1k - $1,999",,8,10,8,10
189,190.0,11/17/2024 4:03:29,California,Long Beach,,Sugar Baby Female,Asian,26-35,Single,Some College,Asian,36-45,Single,Masters,Less than a month,3-4,No,No,No,No,No,No,Yes,Pay Per Meet (PPM),$500-$599,,10,10,10,10
190,191.0,11/17/2024 10:13:50,California,Visalia,,Sugar Baby Female,White / Caucasian,26-35,Married,Associate Degree,East Indian,46-55,Single,Bachelor Degree,1-3 months,3-4,Yes,No,No,Yes,No,No,Yes,Pay Per Meet (PPM),"$2k - $2,999",,5,7,5,6
191,192.0,11/18/2024 1:06:08,California,San Francisco,,Sugar Baby Female,White / Caucasian,46-55,Divorced,Masters,White / Caucasian,56-65,Divorced,Bachelor Degree,1-3 months,1-2,No,Yes,Yes,Yes,Yes,No,No,Pay Per Meet (PPM),$800-$899,,7,8,8,8
192,193.0,11/19/2024 22:40:00,California,Los angeles,,Sugar Baby Female,East Indian,26-35,Single,Masters,Asian,26-35,Married,Bachelor Degree,1-3 months,3-4,Yes,No,Yes,No,No,No,Yes,Monthly Allowance,,"$2k-$2,999",10,10,6,10
193,194.0,11/21/2024 0:40:00,California,Santa Barbara,,Sugar Baby Female,White / Caucasian,36-45,Separated,Bachelor Degree,White / Caucasian,56-65,Single,Doctorate,Less than a month,3-4,No,No,Yes,No,Yes,Yes,Yes,Monthly Allowance,,"$4k-$4,999",10,6,6,8
